Time,Chan1,Chan2,Trial,LED_State
23642312,0,0,268,0
23642780,0,0,268,0
23643256,2,0,268,0
23643724,6,0,268,0
23644200,0,0,268,0
23644668,2,0,268,0
23645140,1,0,268,0
23645612,2,0,268,0
23646084,0,0,268,0
23646564,2,0,268,0
23647036,2,0,268,0
23647508,0,0,268,0
23647980,2,0,268,0
23648456,0,0,268,0
23648924,0,0,268,0
23649400,0,0,268,0
23649868,2,0,268,0
23650344,0,0,268,0
23650812,1,0,268,0
23651284,2,0,268,0
23651756,6,0,268,0
23652228,2,0,268,0
23652708,2,0,268,0
23653180,6,0,268,0
23653660,2,0,268,0
23654132,2,0,268,0
23654608,2,0,268,0
23655084,0,0,268,0
23655560,0,0,268,0
23656028,0,0,268,0
23656504,0,0,268,0
23656972,0,2,268,0
23657444,0,7,268,0
23657916,0,2,268,0
23658388,0,2,268,0
23658868,0,0,268,0
23659340,0,2,268,0
23659812,0,1,268,0
23660284,0,2,268,0
23660760,0,2,268,0
23661228,0,0,268,0
23661704,0,2,268,0
23662172,0,0,268,0
23662652,0,0,268,0
23663116,0,0,268,0
23663588,0,2,268,0
23664060,0,2,268,0
23664532,0,0,268,0
23665012,0,2,268,0
23665484,0,6,268,0
23665956,0,2,268,0
23666428,0,2,268,0
23666904,0,7,268,0
23667372,0,2,268,0
23667848,0,2,268,0
23668316,0,7,268,0
23668792,0,0,268,0
23669260,0,0,268,0
23669732,0,0,268,0
23670204,0,0,268,0
23670676,0,2,268,0
23671156,0,7,268,0
23671628,0,2,268,0
23672100,0,2,268,0
23672572,0,6,268,0
23673052,0,0,268,0
23673520,0,2,268,0
23674000,0,6,268,0
23674468,0,0,268,0
23674944,0,2,268,0
23675412,0,0,268,0
23675884,0,0,268,0
23676356,0,0,268,0
23676828,0,0,268,0
23677300,0,0,268,0
23677772,0,2,268,0
23678244,0,7,268,0
23678716,0,2,268,0
23679192,0,2,268,0
23679660,0,0,268,0
23680136,0,2,268,0
23680604,0,2,268,0
23681080,0,2,268,0
23681548,0,2,268,0
23682020,0,1,268,0
23682492,0,2,268,0
23682964,0,0,268,0
23683444,0,0,268,0
23683916,0,0,268,0
23684388,0,2,268,0
23684860,0,2,268,0
23685336,0,0,268,0
23685804,0,2,268,0
23686280,0,6,268,0
23686748,0,2,268,0
23687224,0,2,268,0
23687692,0,7,268,0
23688164,0,2,268,0
23688636,0,2,268,0
23689108,0,7,268,0
23689588,0,0,268,0
23690060,0,0,268,0
23690532,0,0,268,0
23691004,0,0,268,0
